path,kind,platforms,platform_assumptions,duplicate_of,references_moving_paths,needs_compat_test,keep,migration_action,validated_by
agents/test-engineer.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: Claude subagent frontmatter (tools: comma string, bare model alias)",.opencode/agent/test-engineer.md (generated copy),no,yes,yes,change,make opencode-agents-check (local only; NOT a CI job)
assets/banner.png,asset,none,no,no,no,no,yes,keep,NONE
assets/social-preview.png,asset,none,no,no,no,no,yes,keep,NONE
docs/CHANGELOG.md,documentation,none,no,CHANGELOG.md,no,no,yes,keep,NONE
docs/CONTRIBUTING.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/agent-guidelines/multi-agent-review-2026-07-02.md,legacy,none,yes: dated 4-target review snapshot,no,no,no,yes,keep,NONE
docs/agent-guidelines/overview.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/agent-guidelines/platform-equivalence.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",yes: 4-target equivalence matrix,skills/repo/_contract/feature-equivalence.json,no,yes,yes,change,NONE
docs/engineering/README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/architecture/overview.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,yes: platform-shaped worktree roots,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/build-and-release/ci-workflow.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/build-and-release/development-workflow.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/build-and-release/platform-targets.json,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: the platform registry itself; 4 targets, no gemini/claude-desktop",reviewed_by_skill duplicates the manifest version,no,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change)
docs/engineering/build-and-release/platform-targets.md,generated,"claude-code,claude-desktop,codex,cursor,opencode",yes: renders the 4-target table,platform-targets.json,no,yes,yes,generate,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change)
docs/engineering/build-and-release/versioning.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/decisions/001-plugin-over-dotfiles.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/decisions/002-marketplace-and-plugin-in-one-repo.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/decisions/README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/engineering/statusline.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/agent-kit.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/concepts.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,yes: platform-shaped worktree roots,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/cross-platform-workflow.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,yes: platform-shaped worktree roots,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/install/README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",yes: per-target install steps,no,no,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change) (install_doc existence only)
docs/user/install/claude-code.md,documentation,"claude-code,claude-desktop",yes: per-target install steps,no,no,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change) (install_doc existence only)
docs/user/install/codex.md,documentation,codex,yes: per-target install steps,no,no,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change) (install_doc existence only)
docs/user/install/cursor.md,documentation,cursor,yes: per-target install steps,no,no,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change) (install_doc existence only)
docs/user/install/opencode.md,documentation,opencode,yes: per-target install steps,no,no,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change) (install_doc existence only)
docs/user/phone-notifications.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/quick-start.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/reference.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,no,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
docs/user/troubleshooting.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",varies,no,yes: platform-shaped worktree roots,no,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
hooks/capture-task-slug.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/check-done.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/directory-added.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,yes: platform-shaped worktree roots,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/enforce-worktree-edits.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,yes: platform-shaped worktree roots,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/ensure-exit.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/goal-compact-reminder.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/guard-sensitive-files.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/handoff-reminder.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,yes: platform-shaped worktree roots,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/hooks.json,adapter-specific,"claude-code,claude-desktop,codex","yes: Claude/Codex hooks.json event schema, ${CLAUDE_PLUGIN_ROOT}",no,no,yes,yes,change,make validate (jq empty on every *.json) + make validate orphan-hook check (warn-only) + make lint
hooks/lib/agent-claim.sh,canonical,"claude-code,claude-desktop,codex",yes: Claude hook JSON stdin/stdout protocol,no,no,yes,yes,change,make test-hooks -> tests/test-concurrency-guard.sh (CI hook-tests) (NOT shellchecked: make lint uses find hooks -maxdepth 1)
hooks/lib/hook-output.sh,canonical,"claude-code,claude-desktop,codex",yes: Claude hook JSON stdin/stdout protocol,no,no,yes,yes,change,NONE (NOT shellchecked: make lint uses find hooks -maxdepth 1)
hooks/lib/worktree-common.sh,canonical,"claude-code,claude-desktop,codex",yes: Claude hook JSON stdin/stdout protocol,no,yes: platform-shaped worktree roots,yes,yes,change,NONE (NOT shellchecked: make lint uses find hooks -maxdepth 1)
hooks/notify.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/plugin-reload-reminder.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/plugin-version-watch.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/protect-other-branches.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make test-hooks -> tests/test-concurrency-guard.sh (CI hook-tests)
hooks/release-agent-claims.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/scope-decompose-reminder.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/session-end.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/session-init.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,yes: platform-shaped worktree roots,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/show-changelog.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/skill-creator-guard.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/validate-report-links.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/worktree-create.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
hooks/worktree-remove.sh,adapter-specific,"claude-code,claude-desktop,codex",yes: Claude hook events + ${CLAUDE_PLUGIN_ROOT}; no cursor/gemini/opencode equivalent,no,no,yes,yes,change,make lint (shellcheck -S warning) + make validate orphan-hook check (warn-only) + make lint
opencode.json,adapter-specific,opencode,yes: OpenCode skills.paths enumeration,manifest skills[] arrays (4th place the domain list is maintained),no,yes,yes,change,make validate (jq empty on every *.json)
rules/dev/cross-platform-handoff.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,.cursor/rules/cross-platform-handoff.mdc (thin copy),yes: platform-shaped worktree roots,yes,yes,change,NONE
rules/dev/dev-files-workspace.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,.cursor/rules/dev-files-workspace.mdc (thin copy),no,yes,yes,change,NONE
rules/dev/gh-cli-preference.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,no cursor/codex/opencode adapter copy exists,no,yes,yes,change,NONE
rules/dev/git-worktree-agent-workflow.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,.cursor/rules/git-worktree-agent-workflow.mdc (thin copy),yes: platform-shaped worktree roots,yes,yes,change,NONE
rules/dev/plugin-version-bump.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,.cursor/rules/plugin-version-bump.mdc (thin copy),no,yes,yes,change,NONE
rules/dev/skill-quality-standards.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,.cursor/rules/skill-quality-standards.mdc (thin copy),yes: 16-field skill contract,yes,yes,change,NONE
rules/dev/user-facing-script-standards.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode",varies: some rules enumerate platform worktree roots,no cursor/codex/opencode adapter copy exists,no,yes,yes,change,NONE
scripts/build-opencode-agents.sh,canonical,opencode,yes: OpenCode-specific translation,no,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/check-agent-drift.sh,canonical,none,no,"skills/repo/_contract/scripts/check-agent-drift.sh (different impl, same name)",no,yes,yes,change,make lint (shellcheck -S warning)
scripts/check-doc-claims.sh,canonical,none,yes: enumerates supported_targets,no,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/check-feature-equivalence.sh,canonical,none,yes: claude/cursor/codex only - no opencode/gemini,IDENTICAL to _contract/scripts/ + _contract/templates/*.tmpl + scaffold-plugin-gold fixture,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/check-marketplace-schema.sh,canonical,claude-code,yes: Claude extraKnownMarketplaces schema,no,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/check-platform-targets.sh,canonical,none,yes: README badge prefixes per target,_contract/scripts/check-platform-targets.sh (drifted variant),no,yes,yes,change,make lint (shellcheck -S warning)
scripts/github-mcp.sh,canonical,"claude-code,claude-desktop,codex,cursor,opencode",no,no,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/install.sh,canonical,"claude-code,claude-desktop,codex,cursor,opencode",yes: Claude-first install paths,"scripts/update.sh, scripts/uninstall.sh",no,yes,yes,change,make lint (shellcheck -S warning)
scripts/normalize-skill-frontmatter.py,canonical,"claude-code,claude-desktop,codex,cursor,opencode",yes: writes the Claude 16-field contract,scripts/validate-skill-frontmatter.py,no,yes,yes,change,NONE
scripts/notify-pushover.sh,canonical,claude-code,yes: macOS/Claude notification hook,no,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/pushover_format.py,canonical,claude-code,yes: Claude notification payload shape,no,no,yes,yes,change,NONE
scripts/requirements-validate.txt,canonical,none,no,no,no,no,yes,keep,GitHub Actions runs it (self-validating)
scripts/statusline.sh,adapter-specific,claude-code,yes: Claude statusline stdin JSON contract,no,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/uninstall.sh,canonical,"claude-code,claude-desktop,codex,cursor,opencode",yes: Claude-first uninstall paths,scripts/install.sh,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/update.sh,canonical,"claude-code,claude-desktop,codex,cursor,opencode",yes: Claude-first update paths,scripts/install.sh,no,yes,yes,change,make lint (shellcheck -S warning)
scripts/validate-skill-frontmatter.py,canonical,"claude-code,claude-desktop,codex,cursor,opencode",yes: enforces the Claude 16-field contract on every target's skills,no,no,yes,yes,change,GitHub Actions runs it (self-validating)
skills/creative/algorithmic-art/LICENSE.txt,asset,"claude-code,claude-desktop,codex,cursor,opencode",no,skills/toolkit/skill-creator/LICENSE.txt,no,no,yes,keep,NONE
